                   
                                               Deposit Summary Report

                                         Release:                         2022-05-13 #001
                                         Total Check Items:               28351
                                         Total Check Amount:              $710,151.57
                                         Total Cash Items:                268
                                         Total Cash Amount:               $2,423.00
                                         Total Foreign Items:             1
                                         Total Foreign Amount:            $17.00
                                         Total Bank Deposit:              $712,591.57

                                              
                                                         FOREIGN              1         $17.00

                                                         Account Details

Description         Account        BOA Client Id         Items     Total Amount          Non-Cash Amount               Cash Amount
                8  1920683519             000905810            90           $2,825.00                    $2,825.00                   $0.00
1,4,20,101,301     1921245215             000905809       21643          $569,560.42                  $569,417.42                 $143.00
             751   1933238155             000905811         2985          $62,885.84                    $62,458.84                $427.00
             753   1933253059             000905812         3901          $77,303.31                    $75,450.31              $1,853.00
1,4,20,101,301       FOREIGN              000905809             1              $17.00                        $17.00                  $0.00

                                                           Batch Listing

             Item   Batch Number       Checks      Chk Amt      Cash    Cash Amt     Foreign     Foreign Amt      Total Amt
229         000046845                     100    $2,769.00                0          $0.00                 0               $0.00      $2,769.00
230         000046846                     100    $2,548.00                0          $0.00                 0               $0.00      $2,548.00
231         000046847                     100    $2,429.00                0          $0.00                 0               $0.00      $2,429.00
232         000046848                       99   $2,477.00                0          $0.00                 0               $0.00      $2,477.00
233         000046849                     100    $2,522.00                0          $0.00                 0               $0.00      $2,522.00
234         000046850                     100    $2,868.00                0          $0.00                 0               $0.00      $2,868.00
235         000046851                       99   $2,555.00                0          $0.00                 0               $0.00      $2,555.00
236         000046852                       99   $2,340.00                0          $0.00                 0               $0.00      $2,340.00
237         000047035                     100    $2,606.00                0          $0.00                 0               $0.00      $2,606.00
238         000047036                     100    $2,766.00                0          $0.00                 0               $0.00      $2,766.00
239         000047037                     100    $2,456.00                0          $0.00                 0               $0.00      $2,456.00
240         000047334                       83   $2,234.50                0          $0.00                 0               $0.00      $2,234.50
241         000047429                       12      $270.00               0          $0.00                 0               $0.00         $270.00
242         000047605                         2       $32.00              0          $0.00                 0               $0.00           $32.00
243         000047759                       53   $1,406.00                0          $0.00                 0               $0.00      $1,406.00
244         000047760                       98   $2,376.50                0          $0.00                 0               $0.00      $2,376.50
245         000047772                         9     $200.00               0          $0.00                 0               $0.00         $200.00
246         000047860                       50   $1,172.00                0          $0.00                 0               $0.00      $1,172.00
247         000047861                       49      $995.00               0          $0.00                 0               $0.00         $995.00
248         000047862                       50   $1,036.00                0          $0.00                 0               $0.00      $1,036.00
249         000047863                       50   $1,231.00                0          $0.00                 0               $0.00      $1,231.00
250         000047864                       50   $1,135.00                0          $0.00                 0               $0.00      $1,135.00
251         000047865                       50   $1,140.00                0          $0.00                 0               $0.00      $1,140.00
252         000047866                       50   $1,099.00                0          $0.00                 0               $0.00      $1,099.00
253         000047867                       50   $1,241.00                0          $0.00                 0               $0.00      $1,241.00
254         000047868                       50   $1,063.00                0          $0.00                 0               $0.00      $1,063.00
